MasterID,CollectionDate,SpawnYear,LGDTrapID,BioSamplesID,CollectionLocation,LGDFLmm,LGDWeight,SRR,LGDSpecies,PtagisSpecies,GenSpecies,LGDRun,PtagisRun,GenRun,LGDRear,PtagisRear,GenRear,LGDLifeStage,LGDSex,GenSex,GenStock,GenStockProb,GenParentHatchery,GenBY,GenPBT_ByHat,GenPBT_RGroup,GenComments,LGDFishComments,BioScaleFinalAge,PtagisEventSites,PtagisLastEventSite,PtagisLastEventDate,PtagisEventLastSpawnSite,RepeatSpawner,BiosamplesValid,LGDValid,LGDInjuryiesAll,LGDMarksAll,LGDMarkAD,LGDTagsAll,LGDNumPIT,LGDNumRT,LGDNumJaw,LGDOpComments,PTAgisSxCGRAObs,OpTrapSampleRate,OpWaterTemp,CreatedDate,CreatedUser,Editdate,EditUser,LGDNumFloy,Date,SppCode,Species,week_num
426327,2019-06-12T00:00:00Z,SY2019,LGR1A-LGR-11H-2019-003719,19-17805,Lower Granite Dam ->,740,NA,15H,1,NA,1,5,NA,5,H,NA,H,RF,NI,M,NA,NA,NA,NA,2015-MCCA-SFSAL-SEG,2015-MCCA-SFSAL-SFSalmonR-SegSmolt,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1,NA,AD,AD,Wire,NA,NA,NA,NA,NA,0.28,56.5,2019-06-12T21:00:04Z,IDFG\pbunn,2019-07-28T17:28:17Z,IDFG\pbunn,NA,2019-06-12T00:00:00Z,1,Chinook,15
426127,2019-06-10T00:00:00Z,SY2019,LGR1A-LGR-11H-2019-003567,NA,Lower Granite Dam ->,770,NA,15H,1,NA,NA,5,NA,NA,H,NA,NA,RF,NI,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,FALSE,1,S,AD,AD,NA,NA,NA,NA,NA,NA,0.28,56,2019-06-10T21:00:04Z,IDFG\pbunn,2019-06-10T21:00:04Z,IDFG\pbunn,NA,2019-06-10T00:00:00Z,1,Chinook,15
426145,2019-06-10T00:00:00Z,SY2019,LGR1A-LGR-11H-2019-003544,NA,Lower Granite Dam ->,530,NA,15H,1,NA,NA,5,NA,NA,H,NA,NA,RF,NI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1,NA,AD,AD,NA,NA,NA,NA,NA,NA,0.28,56,2019-06-10T21:00:04Z,IDFG\pbunn,2019-06-10T21:00:04Z,IDFG\pbunn,NA,2019-06-10T00:00:00Z,1,Chinook,15
426188,2019-06-11T00:00:00Z,SY2019,LGR1A-LGR-11H-2019-003623,NA,Lower Granite Dam ->,680,NA,15H,1,NA,NA,5,NA,NA,H,NA,NA,RF,NI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1,S,AD,AD,NA,NA,NA,NA,NA,NA,0.28,56.3,2019-06-11T21:00:04Z,IDFG\pbunn,2019-06-11T21:00:04Z,IDFG\pbunn,NA,2019-06-11T00:00:00Z,1,Chinook,15
426213,2019-06-11T00:00:00Z,SY2019,LGR1A-LGR-11H-2019-003684,NA,Lower Granite Dam ->,770,NA,15H,1,NA,NA,5,NA,NA,H,NA,NA,RF,NI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1,NA,AD,AD,NA,NA,NA,NA,NA,NA,0.28,56.3,2019-06-11T21:00:04Z,IDFG\pbunn,2019-06-11T21:00:04Z,IDFG\pbunn,NA,2019-06-11T00:00:00Z,1,Chinook,15
426247,2019-06-11T00:00:00Z,SY2019,LGR1A-LGR-11H-2019-003607,NA,Lower Granite Dam ->,700,NA,15H,1,NA,NA,5,NA,NA,H,NA,NA,RF,NI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1,NA,AD,AD,NA,NA,NA,NA,NA,NA,0.28,56.3,2019-06-11T21:00:04Z,IDFG\pbunn,2019-06-11T21:00:04Z,IDFG\pbunn,NA,2019-06-11T00:00:00Z,1,Chinook,15
426322,2019-06-12T00:00:00Z,SY2019,LGR1A-LGR-11H-2019-003733,NA,Lower Granite Dam ->,730,NA,15H,1,1,NA,5,1,NA,H,H,NA,RF,NI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPJ(O),BO1(O),BO1(O),TD1(O),TD1(O),JO1(O),MC1(O),ICH(O),LMA(O),GOA(O),GOA(O),GRA(O),GRA(O),LGRLDR(R),GRA(O),RAPH(M)",RAPH,2019-07-02T10:00:00Z,RAPH,NA,FALSE,1,S,AD,AD,Pit,3DD.007784A43F,NA,NA,NA,NA,0.28,56.5,2019-06-12T21:00:04Z,IDFG\pbunn,2019-06-12T21:00:04Z,IDFG\pbunn,NA,2019-06-12T00:00:00Z,1,Chinook,15
426329,2019-06-12T00:00:00Z,SY2019,LGR1A-LGR-11H-2019-003698,NA,Lower Granite Dam ->,840,NA,15H,1,1,NA,5,5,NA,H,U,NA,RF,NI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BO4(O),TD2(O),JO1(O),MC1(O),ICH(O),LMA(O),GOA(O),GRA(O),LGRLDR(R),GRA(O),SFG(O),KRS(O),SALSFW(M)",SALSFW,2019-07-12T10:00:00Z,SALSFW,NA,FALSE,1,NA,AD,AD,Pit,3DD.0077C21DC5,NA,NA,NA,NA,0.28,56.5,2019-06-12T21:00:04Z,IDFG\pbunn,2019-06-12T21:00:04Z,IDFG\pbunn,NA,2019-06-12T00:00:00Z,1,Chinook,15
426395,2019-06-12T00:00:00Z,SY2019,LGR1A-LGR-11H-2019-003736,19-17813,Lower Granite Dam ->,760,NA,15H,1,NA,1,5,NA,5,H,NA,H,RF,NI,M,NA,NA,NA,NA,2015-MCCA-SFSAL-SEG,2015-MCCA-SFSAL-SFSalmonR-SegSmolt,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1,NA,AD,AD,NA,NA,NA,NA,NA,NA,0.28,56.5,2019-06-12T21:00:04Z,IDFG\pbunn,2019-07-28T17:28:17Z,IDFG\pbunn,NA,2019-06-12T00:00:00Z,1,Chinook,15
423740,2019-05-23T00:00:00Z,SY2019,LGR1A-LGR-11H-2019-001629,NA,Lower Granite Dam ->,660,NA,15H,1,NA,NA,5,NA,NA,H,NA,NA,RF,NI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1,NA,AD,AD,NA,NA,NA,NA,NA,NA,0.28,51.3,2019-05-23T21:00:05Z,IDFG\pbunn,2019-05-23T21:00:05Z,IDFG\pbunn,NA,2019-05-23T00:00:00Z,1,Chinook,12
